Time,Temperature (° F),,,Dew Point (° F),,,Humidity (%),,,Wind Speed (mph),,,Pressure (Hg),,,Precipation (in),,
4/1/18,35,30,24,19,13,7,63,-,32,17,-,5,30.3,-,30.15,-,0,-
4/2/18,44,33,21,29,19,12,81,-,29,16,-,0,30.15,-,29.87,-,0,-
4/3/18,40,37,34,37,35,30,92,-,70,21,-,5,29.85,-,29.5,-,0.2,-
4/4/18,35,31,26,31,21,15,89,-,51,28,-,7,30.24,-,29.65,-,0.01,-
4/5/18,42,33,23,34,23,10,96,-,34,17,-,0,30.25,-,29.9,-,0.07,-
4/6/18,38,32,25,34,21,8,92,-,35,28,-,4,30.13,-,29.83,-,0,-
4/7/18,39,30,20,18,9,3,68,-,29,18,-,0,30.2,-,30.07,-,0,-
4/8/18,39,30,21,26,14,1,85,-,23,15,-,0,30.14,-,30.04,-,0.01,-
4/9/18,39,35,30,31,29,26,92,-,75,12,-,0,30.28,-,30.06,-,0.13,-
4/10/18,46,37,28,28,23,21,92,-,40,15,-,4,30.31,-,30.12,-,0,-
4/11/18,66,53,39,38,33,28,70,-,37,18,-,0,30.08,-,29.79,-,0.05,-
4/12/18,73,58,42,46,42,35,93,-,38,25,-,0,29.77,-,29.6,-,0.03,-
4/13/18,47,43,39,39,37,35,92,-,76,33,-,6,29.84,-,29.68,-,0.07,-
4/14/18,39,38,36,36,35,32,92,-,85,31,-,14,29.88,-,29.75,-,0.96,-
4/15/18,37,33,28,34,31,24,96,-,85,24,-,8,29.83,-,29.66,-,0.74,-
4/16/18,35,31,27,24,23,22,85,-,61,24,-,12,29.93,-,29.77,-,0.01,-
4/17/18,43,36,29,24,21,18,69,-,41,22,-,5,29.97,-,29.89,-,0,-
4/18/18,37,34,30,32,29,24,100,-,64,25,-,0,29.96,-,29.75,-,0.41,-
4/19/18,55,43,31,33,27,22,100,-,28,15,-,6,30.44,-,30,-,0.01,-
4/20/18,61,46,31,25,19,10,59,-,16,15,-,0,30.53,-,30.43,-,0,-
4/21/18,55,47,39,26,20,16,48,-,28,14,-,0,30.46,-,30.36,-,0,-
4/22/18,62,52,42,29,24,19,53,-,25,18,-,0,30.38,-,30.24,-,0,-
4/23/18,63,53,43,31,28,23,62,-,25,20,-,5,30.24,-,30.1,-,0,-
4/24/18,65,57,48,48,41,31,86,-,50,20,-,4,30.08,-,29.98,-,0,-
4/25/18,53,46,38,37,31,28,66,-,41,30,-,0,30.13,-,30.01,-,0,-
4/26/18,66,51,36,31,29,26,76,-,24,14,-,0,29.99,-,29.78,-,0,-
4/27/18,58,49,39,36,32,26,85,-,35,29,-,7,29.89,-,29.72,-,0.02,-
4/28/18,50,42,33,33,26,18,82,-,31,22,-,5,30.29,-,29.91,-,0,-
4/29/18,58,45,31,28,19,9,72,-,21,12,-,4,30.4,-,30.22,-,0,-
4/30/18,80,60,40,31,24,14,43,-,14,21,-,5,30.23,-,29.96,-,0,-
5/1/18,86,73,60,49,42,32,39,-,25,29,-,9,29.98,-,29.84,-,0,-
5/2/18,86,75,63,65,58,49,87,-,37,36,-,0,29.93,-,29.82,-,1.32,-
5/3/18,70,62,54,63,58,50,93,-,63,24,-,0,29.95,-,29.76,-,0.57,-
5/4/18,74,68,61,61,53,44,84,-,35,33,-,6,30,-,29.63,-,0,-
5/5/18,82,70,57,46,43,39,67,-,24,22,-,0,30.03,-,29.9,-,0,-
5/6/18,68,59,50,45,42,38,66,-,37,22,-,0,30.14,-,29.91,-,0,-
5/7/18,75,61,46,43,40,37,71,-,31,15,-,0,30.23,-,30.12,-,0,-
5/8/18,81,69,57,43,41,38,55,-,25,14,-,0,30.15,-,30.01,-,0,-
5/9/18,81,69,57,63,53,39,80,-,40,26,-,5,29.9,-,29.59,-,0.25,-
5/10/18,73,62,50,54,52,46,86,-,46,18,-,5,30.05,-,29.75,-,0,-
5/11/18,52,49,45,46,40,34,86,-,56,23,-,10,30.07,-,29.96,-,0.04,-
5/12/18,50,47,44,44,43,41,93,-,74,22,-,4,30.14,-,29.97,-,0.33,-
5/13/18,67,56,45,55,48,42,93,-,67,18,-,0,30.11,-,29.94,-,0.91,-
5/14/18,83,68,53,65,58,49,93,-,51,24,-,0,30.01,-,29.78,-,1.54,-
5/15/18,71,61,51,62,54,38,93,-,51,22,-,0,30.03,-,29.81,-,0,-
5/16/18,79,63,47,55,44,39,76,-,28,15,-,0,30.04,-,29.94,-,0,-
5/17/18,69,61,52,49,46,41,77,-,52,20,-,0,30.08,-,29.97,-,0,-
5/18/18,65,59,52,57,49,42,93,-,52,17,-,7,30.09,-,29.92,-,0.1,-
5/19/18,69,62,54,60,56,53,93,-,68,23,-,0,30,-,29.85,-,0.02,-
5/20/18,55,50,44,53,43,39,93,-,71,24,-,6,30.23,-,30.03,-,0.27,-
5/21/18,64,57,49,60,52,42,93,-,74,18,-,0,30.18,-,29.97,-,1.96,-
5/22/18,67,61,54,58,54,50,100,-,67,14,-,0,30.09,-,29.97,-,0,-
5/23/18,80,66,52,57,51,47,96,-,32,13,-,0,30.2,-,30.1,-,0,-
5/24/18,87,73,58,55,54,52,80,-,34,13,-,0,30.19,-,30.01,-,0,-
5/25/18,89,78,67,65,57,51,69,-,29,17,-,5,30.01,-,29.74,-,0,-
5/26/18,90,80,70,65,61,58,79,-,37,13,-,4,29.79,-,29.71,-,0,-
5/27/18,97,84,70,68,62,55,79,-,27,14,-,0,29.88,-,29.78,-,0,-
5/28/18,95,83,70,66,61,57,73,-,33,31,-,0,30.01,-,29.85,-,0,-
5/29/18,87,77,66,65,60,54,73,-,51,20,-,4,29.92,-,29.79,-,0,-
5/30/18,86,77,67,70,66,57,93,-,59,21,-,4,29.78,-,29.53,-,0.9,-
5/31/18,89,79,69,68,65,62,90,-,43,18,-,4,29.75,-,29.58,-,0,-
6/1/18,76,65,53,65,55,45,84,-,60,24,-,0,29.99,-,29.74,-,0,-
6/2/18,70,61,52,59,53,45,84,-,66,15,-,0,30.01,-,29.83,-,0.31,-
6/3/18,78,69,60,58,53,48,90,-,36,26,-,0,29.96,-,29.82,-,0,-
6/4/18,80,68,55,50,48,45,77,-,32,21,-,5,30.04,-,29.81,-,0,-
6/5/18,72,63,54,53,46,38,64,-,44,23,-,7,29.94,-,29.81,-,0.01,-
6/6/18,79,64,48,58,50,39,80,-,45,16,-,0,30,-,29.85,-,0.1,-
6/7/18,81,71,60,58,55,48,73,-,45,17,-,0,30.11,-,29.88,-,0,-
6/8/18,73,66,59,58,54,47,72,-,57,15,-,4,30.21,-,30.09,-,0,-
6/9/18,82,70,57,65,60,50,93,-,58,21,-,0,30.09,-,29.92,-,1.31,-
6/10/18,71,66,60,66,62,58,100,-,84,20,-,0,29.92,-,29.82,-,1.34,-
6/11/18,70,66,61,63,60,57,93,-,76,16,-,6,29.95,-,29.86,-,0.1,-
6/12/18,80,71,62,69,65,59,93,-,67,12,-,0,29.95,-,29.83,-,0,-
6/13/18,81,73,64,68,58,46,97,-,30,20,-,0,30.02,-,29.83,-,0,-
6/14/18,81,73,64,54,50,46,67,-,32,14,-,0,30.07,-,29.96,-,0,-
6/15/18,89,77,64,68,59,49,68,-,43,16,-,0,30.02,-,29.86,-,0,-
6/16/18,92,81,69,71,68,64,97,-,47,31,-,0,30.02,-,29.91,-,0.65,-
6/17/18,93,86,78,72,70,69,74,-,46,22,-,7,29.99,-,29.91,-,0,-
6/18/18,95,81,66,72,70,68,87,-,46,28,-,8,29.99,-,29.86,-,0.36,-
6/19/18,81,72,63,69,63,60,93,-,67,18,-,0,30.01,-,29.86,-,0.02,-
6/20/18,77,71,65,64,61,57,87,-,64,17,-,0,29.88,-,29.81,-,0,-
6/21/18,67,65,62,64,62,58,93,-,78,20,-,5,29.85,-,29.75,-,1.41,-
6/22/18,64,62,59,60,58,57,90,-,84,22,-,7,29.78,-,29.72,-,1.23,-
6/23/18,81,72,62,64,57,53,90,-,42,13,-,0,29.8,-,29.7,-,0,-
6/24/18,80,72,64,63,59,54,84,-,54,21,-,0,30.08,-,29.81,-,0,-
6/25/18,78,70,61,61,59,56,90,-,54,21,-,6,30.14,-,30.05,-,0,-
6/26/18,84,75,66,69,65,57,90,-,58,17,-,0,30.05,-,29.73,-,0.76,-
6/27/18,80,75,69,68,65,62,90,-,67,18,-,0,29.88,-,29.72,-,0.03,-
6/28/18,88,78,68,67,65,63,87,-,48,14,-,0,29.94,-,29.88,-,0,-
6/29/18,96,85,73,0,0,0,84,-,46,17,-,0,0,-,0,-,0,-
6/30/18,94,87,80,0,0,0,79,-,49,21,-,0,0,-,0,-,0,-
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,